date,machine_id,drink_id,drink_name,price,stock_alert
2026-06-11,1,1,콜라,1000,0
2026-06-12,3,7,탄산음료,750,0
2026-06-12,3,1,믹스커피,200,0
2026-06-12,3,7,탄산음료,750,0
2026-06-12,3,1,믹스커피,200,0
2026-06-12,3,1,믹스커피,200,0
2026-06-12,3,1,믹스커피,200,0
2026-06-12,3,1,믹스커피,200,0
2026-06-12,3,1,믹스커피,200,0
2026-06-12,3,1,믹스커피,200,1
2026-06-12,3,1,믹스커피,200,1
2026-06-12,3,1,믹스커피,200,1
2026-06-12,3,1,믹스커피,200,2
2026-06-12,1,7,탄산음료,750,0
2026-06-12,1,1,믹스커피,200,0
2026-06-12,1,1,믹스커피,200,0
2026-06-12,1,1,믹스커피,200,0
2026-06-12,1,1,믹스커피,200,0
2026-06-12,1,1,믹스커피,200,0
2026-06-12,1,1,믹스커피,200,0
2026-06-12,1,1,믹스커피,200,1
